Names,Links,Stars
DearPyGUI,https://github.com/hoffstadt/DearPyGui,12611
enaml,https://github.com/nucleic/enaml,1518
delphifmx,https://github.com/Embarcadero/DelphiFMX4Python,291
WinDeklar,https://github.com/njodal/WinDeklar,1
flaskwebgui,https://github.com/ClimenteA/flaskwebgui,667
Pimgu,https://github.com/iwilkey/pimgu,2
pyGobject,https://github.com/GNOME/pygobject,146
guikit,https://github.com/ImperialCollegeLondon/guikit,8
sv-ttk,https://github.com/rdbende/Sun-Valley-ttk-theme-svg,7
Flet,https://github.com/flet-dev/flet,9885
niceGui,https://github.com/zauberzeug/nicegui,8177
delphivcl,https://github.com/Embarcadero/DelphiVCL4Python,239
Pygame,https://github.com/pygame/pygame,7135
pyimgui,https://github.com/pyimgui/pyimgui,1308
urwid,https://github.com/urwid/urwid,2765
Gooey,https://github.com/chriskiehl/Gooey,20472
streamlit,https://github.com/streamlit/streamlit,33171
Textual,https://github.com/Textualize/textual,24079
neutron-web,https://github.com/neutronjs/neutron-website,5
pymsbuild-winui,https://github.com/zooba/pymsbuild-winui,3
tkinter,https://github.com/MagnoEfren/tkinter,50
easygui,https://github.com/robertlugg/easygui,450
svc-ttk,svc-ttk has no html_url key,svc-ttk has no stargazers_count key
Toga,https://github.com/beeware/toga,4192
guiml,https://github.com/guiml/guiml,0
guietta,https://github.com/alfiopuglisi/guietta,1955
pywebview,https://github.com/r0x0r/pywebview,4490
PynamicUI,https://github.com/zacharie410/PynamicUI,2
flexx,https://github.com/flexxui/flexx,3229
remi,https://github.com/rawpython/remi,3476
pydracula,https://github.com/Wanderson-Magalhaes/Modern_GUI_PyDracula_PySide6_or_PyQt6,2200
PyForms,https://github.com/UmSenhorQualquer/pyforms,631
pyGTK,https://github.com/nzjrs/pygtk,14
gradio,https://github.com/gradio-app/gradio,30699
wxPython,https://github.com/ubbn/wxPython,355
fastapi,https://github.com/tiangolo/fastapi,73173
slint,https://github.com/slint-ui/slint,15969
bui,https://github.com/dxq613/bui,648
PyGui,https://github.com/Perlence/PyGuitarPro,282
django,https://github.com/django/django,77814
eel,https://github.com/python-eel/Eel,6276
PySimpleGUI,https://github.com/PySimpleGUI/PySimpleGUI,13238
reflex,https://github.com/reflex-dev/reflex,17949
jinja2,https://github.com/mattrobenolt/jinja2-cli,493
winui-python,https://github.com/sotanakamura/winui-python,34
Kivy,https://github.com/kivy/kivy,17206
PySide,https://github.com/pyside/PySide,288
flask,https://github.com/pallets/flask,66986
EksPy,https://github.com/dpnkarthik/EKSPySparkDocker,0
PyQt,https://github.com/PyQt5/PyQt,6407
PyAutoGUI,https://github.com/asweigart/pyautogui,9894
guizero,https://github.com/lawsie/guizero,393
pix2code,https://github.com/tonybeltramelli/pix2code,11923
toui,https://github.com/touist/touist,65
Taipy,https://github.com/Avaiga/taipy,9736
magicgui,https://github.com/pyapp-kit/magicgui,336
sofi,https://github.com/tryexceptpass/sofi,387
FreeSimpleGui,https://github.com/spyoungtech/FreeSimpleGUI,196
pyhtmlgui,https://github.com/dirk-makerhafen/pyHtmlGui,15
PLIB3.GUI,PLIB3.GUI has no html_url key,PLIB3.GUI has no stargazers_count key
